wavelength,fwhm
418.24,6.99561
423.874,6.6675
429.294,6.42408
434.528,6.25124
439.603,6.13485
444.549,6.06076
449.391,6.01486
454.159,5.98302
458.884,5.95232
463.584,5.9199
468.265,5.88775
472.934,5.8579
477.599,5.83239
482.265,5.81325
486.941,5.8025
491.633,5.8022
496.349,5.81407
501.094,5.83751
505.87,5.87076
510.678,5.91208
515.519,5.95969
520.397,6.01183
525.313,6.06674
530.268,6.12279
535.265,6.1794
540.305,6.23648
545.391,6.29397
550.525,6.35179
555.71,6.40987
560.947,6.46815
566.239,6.52654
571.587,6.58497
576.995,6.64338
582.464,6.70177
587.997,6.76072
593.596,6.82113
599.267,6.88388
605.011,6.94987
610.833,7.01999
616.737,7.09511
622.732,7.17533
628.797,7.25495
634.919,7.33145
641.1,7.40537
647.341,7.47729
653.643,7.54777
660.007,7.61738
666.435,7.68669
672.927,7.75628
679.485,7.8267
686.11,7.89853
692.804,7.97235
699.567,8.04871
706.401,8.1281
713.307,8.2102
720.282,8.29433
727.324,8.3798
734.431,8.46592
741.601,8.552
748.833,8.63735
756.124,8.72128
763.472,8.80311
770.876,8.88214
778.333,8.95779
785.843,9.03034
793.402,9.1005
801.01,9.16897
808.665,9.23646
816.367,9.30368
824.112,9.37133
831.901,9.44012
839.731,9.51076
847.601,9.58396
855.509,9.66032
863.455,9.73971
871.433,9.82161
879.442,9.90551
887.478,9.99089
895.537,10.0772
902.257,9.17725
903.617,10.164
911.715,10.2508
911.872,9.31901
919.827,10.3369
921.624,9.45441
927.951,10.422
931.512,9.58399
936.082,10.5054
941.53,9.7083
944.217,10.5862
951.677,9.82789
952.355,10.6589
960.495,10.716
961.948,9.94331
968.638,10.75
972.341,10.0551
976.783,10.7533
982.851,10.1638
984.932,10.7183
993.083,10.6375
993.475,10.27
1004.21,10.3742
1015.05,10.4768
1026.0,10.5775
1037.05,10.6753
1048.19,10.769
1059.42,10.8578
1070.74,10.9405
1082.14,11.0162
1093.62,11.0839
1105.17,11.1437
1116.79,11.196
1128.47,11.2414
1140.2,11.2806
1151.98,11.3139
1163.81,11.3421
1175.67,11.3656
1187.56,11.385
1199.48,11.4009
1211.42,11.4135
1223.37,11.4229
1235.34,11.4292
1247.31,11.4325
1259.3,11.4329
1271.29,11.4305
1283.29,11.4253
1295.28,11.4176
1307.27,11.4073
1319.25,11.3946
1331.22,11.3796
1343.18,11.3624
1355.13,11.343
1367.06,11.3215
1378.96,11.2981
1390.84,11.2728
1461.46,11.0876
1473.1,11.052
1484.69,11.0151
1496.24,10.9772
1507.75,10.9383
1519.22,10.8984
1530.64,10.8577
1542.02,10.8161
1553.36,10.7738
1564.65,10.7308
1575.9,10.6872
1587.1,10.643
1598.26,10.5985
1609.36,10.5535
1620.43,10.5082
1631.44,10.4626
1642.41,10.4169
1653.33,10.371
1664.2,10.3251
1675.03,10.2793
1685.8,10.2335
1696.53,10.1879
1707.2,10.1425
1717.83,10.0974
1728.4,10.0525
1738.93,10.0079
1749.4,9.96359
1759.83,9.91949
1939.44,9.16572
1948.98,9.12592
1958.49,9.08633
1967.95,9.04694
1977.37,9.00775
1986.74,8.96875
1996.07,8.92995
2005.36,8.89134
2014.61,8.85292
2023.82,8.81469
2032.99,8.77665
2042.11,8.73878
2051.19,8.70111
2060.24,8.66361
2069.24,8.62632
2078.21,8.58923
2087.13,8.55236
2096.01,8.51572
2104.86,8.47932
2113.67,8.44317
2122.44,8.40728
2131.17,8.37166
2139.87,8.33632
2148.52,8.30128
2157.15,8.26653
2165.73,8.2321
2174.28,8.198
2182.79,8.16422
2191.27,8.13079
2199.71,8.09771
2208.12,8.065
2216.5,8.03267
2224.84,8.00072
2233.14,7.96916
2241.42,7.93802
2249.66,7.90728
2257.86,7.87694
2266.04,7.84695
2274.18,7.81727
2282.29,7.78785
2290.37,7.75866
2298.42,7.72966
2306.44,7.70079
2314.42,7.67203
2322.37,7.64333
2330.29,7.61464
2338.19,7.58593
2346.05,7.55715
2353.88,7.52827
2361.68,7.49924
2369.45,7.47001
2377.19,7.44055
2384.9,7.41082
2392.58,7.38077
2400.23,7.35037
2407.85,7.31957
2415.45,7.28832
2423.01,7.25659
2430.55,7.22434
2438.05,7.19152
2445.53,7.1581